video_name,labels
01607,9
08256,9
09044,2
00552,6
01025,8
15228,5
07284,9
02555,9
03221,0
08420,9
10417,0
04458,8
02366,8
01606,8
01214,0
10915,9
02598,6
15482,1
20008,4
05399,2
04342,6
05844,6
00569,8
11018,4
00333,9
01852,1
04228,0
05264,6
02259,6
02231,6
05087,6
00230,5
02573,6
09034,4
05426,4
01639,8
08488,1
03163,1
05342,2
00913,6
04290,0
20000,4
07276,0
03828,8
01389,4
04872,6
03660,10
05437,6
01325,7
08727,0
07784,1
01243,8
02766,9
02385,8
07554,0
00020,8
01196,9
08559,5
10435,5
08515,0
08284,1
00752,8
15073,5
05061,6
02711,6
01893,4
02720,9
00774,6
05830,6
10345,0
11118,10
02518,9
09292,9
00689,6
10251,0
07843,0
03371,6
00030,1
02207,8
02130,5
04011,0
01618,6
07732,1
09963,2
08118,4
09018,1
00965,1
04635,6
09285,10
10495,10
02442,8
15138,1
08584,0
11059,1
01445,6
03750,1
08210,5
05671,8
05797,9
03002,1
07081,5
05642,2
01743,6
09485,3
10096,4
15450,9
07360,10
09310,1
09266,9
09596,0
08569,10
10346,0
04173,8
04671,8
11179,10
05942,10
04045,8
15294,0
03140,10
10385,0
03459,8
01396,8
00705,10
02600,1
00258,8
08744,0
07288,0
09242,10
04454,8
10398,0
10993,9
08671,9
10490,5
02677,9
02865,6
01869,2
08433,1
09321,2
10378,0
03507,6
09265,6
00852,1
05365,6
07337,7
08314,9
02612,9
02166,6
09483,5
01777,8
10949,9
15122,9
10580,5
04382,6
08269,10
08207,7
08454,9
01295,5
01439,9
03018,9
05258,8
15037,1
01248,8
15308,0
02967,6
01361,4
03179,10
01951,8
03370,6
07741,4
02860,9
05577,10
10573,5
00257,8
10254,0
03934,3
08015,9
02622,6
09620,1
05929,10
15500,9
02131,5
08810,9
03011,8
03763,8
01739,8
01177,9
09952,10
07139,9
10151,2
03005,8
09193,0
09527,3
08802,9
15535,0
03840,8
15251,1
01429,6
05788,6
08812,9
09180,1
07110,0
15434,9
02905,6
08595,10
10300,0
15513,10
08077,0
07776,0
03699,8
10351,0
03418,0
00275,0
10285,0
10795,9
05733,0
09738,1
15145,5
09162,5
00832,6
04334,6
08987,1
09856,5
15277,5
15072,9
07502,1
09581,0
00251,8
09567,5
07121,1
07586,4
06867,10
08457,4
00564,10
02453,8
10764,10
10443,5
07199,9
01816,8
07462,4
00343,10
05825,6
07505,9
09713,5
07390,2
10925,9
03913,8
07314,0
04326,6
02878,9
05297,7
01393,8
06912,4
00948,9
05232,1
01083,7
10242,0
00153,0
02403,0
15521,10
01098,5
01252,8
02034,8
04423,0
07535,1
08368,10
07834,0
09897,4
08084,1
10181,0
05022,6
07885,9
01401,4
00775,6
01120,6
05463,8
04516,6
08920,3
02417,4
08941,9
00797,6
10374,0
04806,4
04705,6
09715,5
07958,10
15605,10
07350,7
15326,0
04359,6
10962,1
02604,6
05839,10
00844,10
04718,6
09682,5
05702,2
05169,1
10571,5
07667,9
07706,3
11130,10
04408,6
05730,10
05181,6
03802,10
03834,6
05916,9
15389,9
07998,9
00541,6
08464,10
05405,7
09395,1
08053,5
08900,9
08575,1
05247,6
03783,6
00370,6
10857,9
11253,5
04013,2
09705,9
10426,0
06952,10
02577,9
02082,6
04553,6
08356,9
02384,9
05102,1
10343,0
08795,4
04333,8
01334,1
00260,5
00830,6
04551,8
00507,7
09493,9
09554,9
05483,10
02117,8
00675,4
09267,7
05035,9
03621,8
09294,5
02398,9
07149,4
08483,0
11044,9
01194,1
08824,4
09440,10
08263,9
09928,9
05337,2
10868,9
05374,2
03434,8
01683,6
08002,5
11170,5
02202,4
09588,9
15157,1
10363,0
08865,10
04465,6
15034,1
15015,7
09699,9
01736,0
05203,6
11025,9
08302,9
10550,10
07167,1
15267,4
07186,0
10223,9
15173,1
08154,1
10566,5
07541,4
11073,10
15057,0
04629,4
02993,1
05343,8
08169,10
15220,0
00765,8
09727,9
09743,5
00117,8
00431,9
08216,9
15471,5
07030,0
11141,7
15418,2
05736,6
09234,1
03937,6
10811,10
15330,0
03835,6
08462,0
09689,7
05355,4
01956,8
07065,1
11050,9
03490,9
07947,0
15014,1
10491,5
10475,0
01988,0
09877,5
03114,8
02425,9
01473,4
10595,10
08532,10
05878,10
08805,4
09309,1
07334,9
02673,9
01081,6
10266,0
07860,1
10910,1
07425,9
02839,9
00170,6
10913,1
01442,9
04077,6
05761,9
08898,1
08421,0
09625,3
10621,0
01728,6
09190,0
05777,6
02748,6
00972,8
05500,10
00840,5
09163,4
09627,9
03486,9
04715,6
01520,9
10250,1
02829,9
04604,4
07999,0
03194,5
10748,5
15597,0
00623,6
06865,10
11027,9
08997,9
08770,10
08409,5
15241,5
08938,1
06820,9
04971,8
05071,8
05808,10
15527,4
11026,9
00904,2
10271,0
10125,4
11064,10
00468,4
00355,6
15505,5
10918,0
10733,10
00836,9
04340,8
08458,9
08657,4
10683,5
01303,0
04686,6
04562,8
00795,6
04791,6
04649,6
05699,6
09422,10
02049,8
07509,9
15552,10
03572,2
02324,1
07659,1
08663,9
08609,4
05272,1
03375,6
07634,0
09220,10
02970,9
05895,0
07737,10
02768,7
20031,0
05492,4
08533,9
05481,6
09570,5
07282,4
10303,0
15207,9
11056,9
15269,1
00567,9
05318,8
09819,10
07730,4
07721,9
01415,8
15546,0
00604,0
02642,9
03342,6
04292,0
04703,6
03540,6
09887,7
08702,1
11095,10
01848,8
09753,5
04862,8
10559,1
00633,5
07022,0
11029,9
09206,1
05851,0
08556,5
01207,0
09165,9
03285,1
02655,9
07115,9
09470,9
10585,5
08397,4
07832,10
04795,6
08146,0
07031,3
07966,1
02229,0
09702,0
02079,4
10381,0
15362,0
03921,5
03497,6
01280,6
05515,8
06816,0
02737,1
08387,10
03344,6
03906,1
09824,1
08589,10
01256,8
00585,0
08701,10
07183,10
08329,2
08267,3
11055,9
07748,0
15067,9
05140,8
09684,5
10239,0
01407,2
00823,8
07798,1
10870,9
00498,0
05653,8
02401,8
04510,6
07363,5
08994,9
02716,2
05568,6
09518,5
08552,0
03911,9
10956,9
08816,0
15044,1
07745,9
09029,5
00542,9
09355,9
01130,0
05800,6
02035,8
08910,10
08415,7
07641,1
08075,9
09882,9
10829,10
04305,4
10141,4
15610,9
08883,5
04227,10
05021,8
15066,1
01350,4
04786,6
00937,9
08349,1
10036,4
02538,6
08366,0
00865,8
01557,9
06940,10
10159,4
01719,8
01171,6
04563,8
05892,9
00121,6
05738,4
10311,0
01316,8
09108,1
03010,6
05945,0
09396,1
02336,8
15215,5
20025,0
02325,10
10865,1
04376,6
10222,0
07904,1
10818,4
03259,6
02692,10
09475,7
03191,0
03381,6
15111,4
05149,6
05058,8
06868,10
07433,0
00998,9
08713,9
09175,9
04393,8
09358,9
07665,9
04360,6
10970,9
01672,7
01729,0
15484,10
07980,4
09087,10
07437,0
20064,9
01514,8
04125,6
04329,10
00559,8
03411,6
03175,5
00179,8
06973,0
01049,7
07080,1
01825,8
07773,9
04826,6
09474,5
10295,0
00719,9
04831,6
04571,8
04704,6
08811,10
05409,4
10192,0
15409,5
00709,5
08051,1
08418,10
03900,8
05714,6
08834,1
10320,0
10948,9
09072,10
09393,1
10887,9
07857,10
02266,8
08185,9
02368,2
05036,8
09669,5
05706,7
02897,6
06928,9
11094,10
06994,0
07152,9
05478,1
08217,4
09622,10
08035,10
08547,9
15021,4
01406,10
08109,10
09769,3
08081,3
00544,9
08110,10
03494,1
00989,0
10923,9
10611,9
00608,10
05390,6
05052,6
10837,1
08414,9
03435,1
02489,8
09326,0
02906,6
09431,9
04989,8
00986,8
03912,5
00870,8
00546,5
10187,0
15604,0
01621,6
10587,5
07681,9
00822,3
01922,8
09722,10
01489,9
05728,7
01091,9
08833,0
03817,8
00526,9
01555,8
09198,1
10091,4
05889,0
10873,9
03069,5
15313,0
04031,2
08730,0
05378,8
00576,5
11149,10
01740,9
01871,8
02479,8
05110,8
00406,0
02546,6
02710,3
07708,4
08504,9
10287,0
07392,10
08086,9
11003,9
05747,8
07469,5
08669,0
20019,4
02004,8
05821,8
04317,6
09820,0
01664,9
08360,9
05179,6
07161,9
08585,3
15419,1
15506,10
09269,9
04951,0
08605,0
15613,10
05651,9
07961,9
03379,6
01197,10
00281,10
10471,0
09595,1
10901,9
02930,5
09351,0
04525,6
11127,10
00530,7
09453,10
05778,8
03694,6
08032,9
02858,8
01440,6
03723,6
10957,9
10705,10
10309,0
09246,5
09099,3
03640,9
08281,5
07512,9
03032,3
03591,4
08285,9
01873,8
00841,8
10845,2
02683,2
10204,0
09718,5
08113,10
05015,4
10579,9
00250,8
10356,0
00125,1
02230,6
15592,5
07687,9
02087,6
10528,0
01633,6
00757,9
00764,7
04026,7
15417,9
10835,9
09030,4
00767,8
08496,10
01000,8
00624,0
09728,5
15243,10
09574,0
09865,5
04232,6
02225,6
01691,1
08754,0
10968,9
11038,9
10391,0
04276,1
02718,9
00436,9
07466,9
15454,1
00770,9
09171,4
15206,3
00314,6
05448,10
07616,1
02223,0
10603,10
06846,2
05725,8
02590,10
10458,0
05345,0
01031,8
08571,1
03541,9
11009,1
02493,8
04937,6
01889,5
01788,9
07523,4
05154,6
07777,0
10698,5
05069,6
10753,1
09562,0
00524,8
09519,10
04843,6
09390,1
03939,8
07519,4
01486,6
02311,6
00389,1
03846,6
08191,10
15411,1
09683,3
02363,6
08732,4
05864,0
02114,9
03995,6
09566,5
05386,7
07135,2
08918,10
02077,8
00786,0
09944,5
08021,5
08069,5
01456,0
10392,4
03705,1
08243,1
08378,9
08219,10
09424,1
09094,9
03758,6
15541,0
08541,1
00059,4
00268,10
10896,1
04129,7
07900,0
09546,4
10841,9
01050,5
03148,9
15033,1
09497,5
02631,6
10414,0
00699,8
06851,5
03261,8
08183,10
07513,4
10468,1
11092,10
09067,10
05284,8
04761,6
08353,1
01169,2
01822,8
04300,0
07827,5
07955,1
15000,4
07217,9
02101,0
00812,0
09572,5
00443,3
10377,0
10582,9
11108,10
15335,5
00979,5
07227,4
10569,5
01414,8
08162,4
05176,6
11012,9
01535,6
08001,10
09306,10
07108,10
15351,2
07650,7
06984,3
01102,7
05032,10
15128,0
10439,10
05891,10
02643,9
05806,4
10777,5
02450,6
03115,6
10459,0
00269,8
07547,1
08959,4
05624,2
01174,9
07698,4
02756,0
03106,8
15483,1
11111,10
03421,8
09098,3
01516,8
09223,9
02435,4
08070,0
09338,5
09922,0
07901,9
04639,4
02982,9
10905,9
00691,8
15548,10
03438,8
08305,9
02635,9
08693,10
10737,5
10606,9
09735,10
05649,8
05807,10
06986,4
10694,9
07168,0
05076,10
07181,9
02551,9
05227,8
06911,0
09117,10
02923,5
10929,9
08694,10
02662,0
07130,10
10400,0
02005,6
10265,0
02250,8
09904,7
00163,6
08346,7
03193,9
06894,6
07179,1
08928,2
11176,10
09623,5
01752,8
08758,1
07057,9
07273,9
07887,4
07043,9
07468,10
02191,6
10154,4
00429,8
08459,10
07649,0
15573,0
09036,4
05287,3
00753,1
08398,10
05379,6
02016,4
10371,0
02470,8
15598,9
03249,10
10342,0
00213,5
15007,1
02663,3
05618,0
11097,10
09761,4
09549,5
08478,1
08477,0
09875,9
04961,8
09935,4
09798,9
00858,0
00499,1
07675,7
08114,1
03310,6
06985,0
02394,4
09615,0
11005,9
03252,0
08992,4
10686,10
08044,9
02452,8
10623,9
01529,8
00926,1
10680,10
03441,8
10850,9
04729,6
10997,9
02875,9
08731,1
08277,9
02468,5
10524,0
05383,6
09450,9
10588,5
04501,8
05449,4
10696,9
05525,6
04353,9
07957,1
07533,7
07145,0
